Mete_SPI_DPRK,Mete_SPI_ROK,Agri_CSIF_DPRK,Agri_CSIF_ROK
-1.24513165,-1.569346373,-19.06321716,6.081524372
-1.238602992,-1.592306926,-8.39862442,1.833476543
-1.233997307,-1.599314368,2.543327332,1.093794584
-1.229035319,-1.612733972,-3.746980429,-2.257616997
-1.222566382,-1.624011753,5.267868996,-6.18423605
-1.213141721,-1.635814543,-3.577544212,-6.589965343
-1.207809887,-1.645964526,-7.087153435,-2.26385355
-1.187490292,-1.655974776,2.955370665,-2.606341362
-1.174733728,-1.665879048,-5.439007282,2.055806875
-1.165083032,-1.698511845,-7.751666546,3.269159555
-1.152298962,-1.702106159,4.672486782,-0.48169446
-1.335586035,-1.611072236,-1.735950708,-5.654483318
-1.293487024,-1.604976053,-11.17992496,-5.29069376
-1.28150152,-1.57840142,5.267101288,-12.78754425
-1.237091541,-1.570839244,-3.085741043,-4.801161289
-1.205808034,-1.562814597,-18.29862976,-9.971104622
-1.21029917,-1.553631806,-19.41965485,2.62901926
-1.21461597,-1.542515481,-25.98209381,-1.741482615
-1.216331711,-0.417576998,-6.930384636,-1.814584136
-1.217152474,-0.483823382,-2.060264826,-2.676232338
-1.227573383,-0.587004364,-14.41360283,3.227282286
-1.237792271,-0.604289525,-8.437627792,5.221894264
-1.243686358,-0.62726863,-15.47694397,3.119362831
-1.24900822,-0.71082831,-13.77932644,3.777590036
-1.257478302,-0.736944194,-8.051370621,6.169334888
-1.261323323,-0.775626357,-10.54931736,8.265823364
-1.266667602,-0.926673515,-2.708542109,1.740414381
-1.264426663,-0.964143784,0.689583063,-1.177428603
-1.260708368,-1.000666404,-6.746779919,-0.632351577
-1.258055927,-1.041798962,-11.99026489,-2.830811739
-1.255355325,-1.079438434,-13.8722477,-4.224237442
-1.252626804,-1.178667907,-13.45445728,5.179750919
-1.25051165,-1.239357587,-10.14451408,-1.527414441
-1.248573971,-1.266478068,-13.81820583,0.452359229
-1.247350477,-1.340339174,-12.53576183,6.73762989
-1.242515463,-1.376010948,-4.765126705,7.150557995
-1.239431386,-1.411233981,-5.095991611,9.887166977
-1.232137702,-1.445089767,-7.625427246,4.343478203
-1.225932533,-1.523450136,-13.18724442,3.428530216
-1.219475647,-1.535872141,-7.832582951,7.58075285
-1.217525932,-1.554021716,-2.846596241,7.193073273
-1.196611905,-1.584102964,-6.451557636,4.056507587
-1.196374336,-1.601669669,-1.891015291,8.548462868
-1.177275103,-1.616966901,-3.533501148,-2.57887578
-1.170187451,-1.624895686,-3.902796507,-2.469344616
-1.15353967,-1.639043783,5.859074116,-4.088800907
-1.314582884,-1.649579636,-8.816226006,-0.688798845
-1.300685991,-1.659365493,-5.330760956,-3.844074965
-1.285115618,-1.670499996,5.099738121,-0.882283807
-1.270432093,-1.695871843,-5.203359127,3.760383844
-1.256705735,-1.683474064,-3.885747194,-5.823509216
-1.246006191,-1.683642054,-2.307113409,-2.865831375
-1.203769159,-1.653127053,-19.26368332,16.40953255
-1.209362769,-1.639999163,-26.37296104,-4.607135773
-1.213176398,-1.633527386,-33.45316315,2.912440538
-1.217097237,-1.59462868,-19.9088192,-2.915732145
-1.218981106,-1.580948272,-13.47161961,-1.196156859
-1.221931622,-1.573873155,-13.06619072,0.636853695
-1.228015935,-1.564851922,-17.70102882,-1.805009127
-1.233769302,-1.554790115,-22.14207268,1.946038008
-1.238528861,-0.445729182,-12.90572548,2.64530611
-1.24757759,-0.469813718,-19.71690559,3.157980204
-1.252261633,-0.604208529,-19.74280357,8.76824379
-1.258749797,-0.642155159,-8.779003143,1.375076056
-1.265532038,-0.642155159,-15.33381557,2.983603716
-1.270545843,-0.710882008,-9.208185196,-1.358775377
-1.268807607,-0.732631588,-2.194816589,8.40762043
-1.263258022,-0.93627358,-8.738996506,-0.966212392
